,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
3,Year/Year,,0.0%,0.5%,-1.1%,0.008,-10.1%,-9.0%,-0.009,2.7%,3.1%,3.0%,5.0%,14.5%,-1.6%,1982,-16.5%,7.6%,1.7%,3.6%,-9.3%,0.034,0.5%,-0.8%,0.006
4,Opponent,82.0,19830,3541,7018,0.505,1793,2369,0.757,1125,2366,3491,2089,2017,8926,1982,703,358,1462,51,168,0.304,3490,6850,0.509
5,Opponent/G,,241.8,43.2,85.6,0.505,21.9,28.9,0.757,13.7,28.9,42.6,25.5,24.6,108.9,1982,8.6,4.4,17.8,0.6,2.0,0.304,42.6,83.5,0.509
6,Lg Rank,,6,12,5,17.0,13,12,20.0,5,10,8,15,20,12,1982,13,4,9,13,5,20.0,11,6,17.0
7,Year/Year,,0.0%,-0.4%,-1.0%,0.003,14.7%,13.8%,0.006,-1.9%,-3.7%,-3.1%,0.0%,1.2%,2.4%,1982,2.0%,-20.8%,-11.9%,18.6%,-2.3%,0.054,-0.6%,-1.0%,0.002
0,Team,82.0,19805,3272,6793,0.482,1621,2282,0.71,1080,2263,3343,2034,2180,8198,1983,701,378,1509,33,131,0.252,3239,6662,0.486
1,Team/G,,241.5,39.9,82.8,0.482,19.8,27.8,0.71,13.2,27.6,40.8,24.8,26.6,100.0,1983,8.5,4.6,18.4,0.4,1.6,0.252,39.5,81.2,0.486
2,Lg Rank,,8,22,23,14.0,15,14,21.0,23,21,23,17,19,20,1983,14,20,7,17,19,5.0,21,23,17.0
3,Year/Year,,-0.1%,-7.1%,-5.4%,-0.009,1.1%,5.1%,-0.028,-7.5%,-0.4%,-2.8%,-2.0%,-0.7%,-5.8%,1983,-2.5%,11.8%,1.5%,-43.1%,-38.8%,-0.019,-6.5%,-4.3%,-0.011
4,Opponent,82.0,19805,3132,6592,0.475,1695,2260,0.75,1073,2337,3410,1873,2116,7997,1983,694,399,1682,38,166,0.229,3094,6426,0.481
5,Opponent/G,,241.5,38.2,80.4,0.475,20.7,27.6,0.75,13.1,28.5,41.6,22.8,25.8,97.5,1983,8.5,4.9,20.5,0.5,2.0,0.229,37.7,78.4,0.481
6,Lg Rank,,8,1,1,8.0,10,9,18.0,2,6,3,2,13,1,1983,7,7,5,6,6,9.0,1,1,8.0
7,Year/Year,,-0.1%,-11.6%,-6.1%,-0.029,-5.5%,-4.6%,-0.007,-4.6%,-1.2%,-2.3%,-10.3%,4.9%,-10.4%,1983,-1.3%,11.5%,15.0%,-25.5%,-1.2%,-0.075,-11.3%,-6.2%,-0.028
0,Team,82.0,19855,3386,6837,0.495,1944,2510,0.775,1088,2230,3318,2041,2281,8763,1984,803,360,1587,47,165,0.285,3339,6672,0.5
1,Team/G,,242.1,41.3,83.4,0.495,23.7,30.6,0.775,13.3,27.2,40.5,24.9,27.8,106.9,1984,9.8,4.4,19.4,0.6,2.0,0.285,40.7,81.4,0.5
2,Lg Rank,,9,18,21,10.0,7,8,7.0,19,21,23,18,22,17,1984,6,18,21,13,14,4.0,19,22,12.0
3,Year/Year,,0.3%,3.5%,0.6%,0.014,19.9%,10.0%,0.064,0.7%,-1.5%,-0.7%,0.3%,4.6%,6.9%,1984,14.6%,-4.8%,5.2%,42.4%,26.0%,0.033,3.1%,0.2%,0.014
4,Opponent,82.0,19855,3260,6687,0.488,1876,2474,0.758,1045,2171,3216,2049,2197,8448,1984,721,397,1683,52,189,0.275,3208,6498,0.494
5,Opponent/G,,242.1,39.8,81.5,0.488,22.9,30.2,0.758,12.7,26.5,39.2,25.0,26.8,103.0,1984,8.8,4.8,20.5,0.6,2.3,0.275,39.1,79.2,0.494
6,Lg Rank,,9,2,1,9.0,15,15,11.0,3,3,1,7,5,3,1984,15,7,2,13,10,18.0,2,1,9.0
